Level	Date and Time	Source	Event ID	Task Category
Information	10/12/2022 3:40:23 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 15:40:23Z] Session (ID: 0488e48c-3b96-426c-9ff8-5e575f5811a0) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 3:40:23 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 0488e48c-3b96-426c-9ff8-5e575f5811a0) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 3:40:13 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 15:40:13Z] Created session: 0488e48c-3b96-426c-9ff8-5e575f5811a0; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 3:40:13 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 0488e48c-3b96-426c-9ff8-5e575f5811a0; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 3:40:13 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 0488e48c-3b96-426c-9ff8-5e575f5811a0; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 3:31:12 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 15:31:12Z] Server connection lost"
Information	10/12/2022 3:19:58 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 15:19:58Z] Session (ID: 0c8bdded-5681-4f08-8a1b-3d9827fc8cd3) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 3:19:58 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 0c8bdded-5681-4f08-8a1b-3d9827fc8cd3) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:59:02 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page 63810b7f-9f73-457f-923d-1a07f8c99e9f"
Information	10/12/2022 11:59:02 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page 73d13ccc-25df-4740-a7b8-d8f4e8d6c1a6"
Information	10/12/2022 11:58:47 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page 73d13ccc-25df-4740-a7b8-d8f4e8d6c1a6 to collection"
Information	10/12/2022 11:58:31 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page 63810b7f-9f73-457f-923d-1a07f8c99e9f to collection"
